uid1	pid1	date
uid1	pid2	date
uid1	pid1	date
uid1	pid3	date
uid1	pid2	date
uid1	pid1	date
uid1	pid2	date
uid1	pid1	date
uid1	pid3	date
uid1	pid4	date
uid2	pid1	date
uid2	pid2	date
uid2	pid1	date
uid2	pid3	date
uid2	pid2	date
uid2	pid1	date
uid2	pid2	date
uid2	pid1	date
uid2	pid3	date
uid2	pid4	date
uid2	pid1	date
uid2	pid5	date
uid2	pid7	date
uid2	pid9	date
uid2	pid10	date
uid2	pid12	date
uid2	pid2	date
uid2	pid8	date
uid2	pid4	date
uid2	pid4	date
uid3	pid2	date
uid3	pid1	date
uid3	pid3	date
uid3	pid2	date
uid3	pid1	date
uid3	pid2	date
uid3	pid1	date
uid3	pid3	date
uid3	pid4	date
uid3	pid1	date
uid3	pid5	date
uid3	pid7	date
uid3	pid9	date
uid3	pid10	date
uid5	pid2	date
uid5	pid8	date
uid5	pid4	date
uid5	pid4	date
uid5	pid2	date
uid5	pid1	date
uid5	pid3	date
uid5	pid2	date
uid4	pid7	date
uid4	pid9	date
uid4	pid10	date
uid4	pid2	date
uid4	pid8	date
